Sample.Name	Plate #	Colony	Season	Depth
S 1-MC-1	13	1	Summer	12
S 1-MC-2	13	1	Summer	12
S 1-MC-3	13	1	Summer	12
S 1-MC-4	21	1	Summer	12
S 1-MC-5	21	1	Summer	12
S 2-MC-1	13	2	Summer	11
S 2-MC-2	21	2	Summer	11
S 2-MC-3	13	2	Summer	11
S 2-MC-4	16	2	Summer	12
S 2-MC-5	21	2	Summer	12
S 3-MC-1	16	3	Summer	12
S 3-MC-2	21	3	Summer	12
S 3-MC-3	21	3	Summer	12
S 3-MC-4	21	3	Summer	9
S 3-MC-5	22	3	Summer	9
S 4-MC-1	16	4	Summer	9
S 4-MC-2	22	4	Summer	9
S 4-MC-3	22	4	Summer	9
S 4-MC-4	17	4	Summer	11
S 4-MC-5	23	4	Summer	11
S 5-MC-1	22	5	Summer	12
S 5-MC-2	22	5	Summer	12
S 5-MC-3	22	5	Summer	12
S 5-MC-4	22	5	Summer	12
S 5-MC-5	22	5	Summer	12
S 6-MC-1	22	6	Summer	14
S 6-MC-2	22	6	Summer	14
S 6-MC-3	15	6	Summer	14
S 6-MC-4	15	6	Summer	14
S 6-MC-5	15	6	Summer	14
W 1 MC 1	21	1	Winter	12
W 1 MC 2	10	1	Winter	12
W 1 MC 3	10	1	Winter	12
W 1 MC 4	10	1	Winter	12
W 1 MC 5	10	1	Winter	12
W 2 MC 1	10	2	Winter	11
W 2 MC 2	10	2	Winter	11
W 2 MC 3	10	2	Winter	11
W 2 MC 4	10	2	Winter	11
W 2 MC 5	10	2	Winter	11
W 3 MC 1	21	3	Winter	12
W 3 MC 2	11	3	Winter	12
W 3 MC 3	11	3	Winter	12
W 3 MC 4	11	3	Winter	12
W 3 MC 5	21	3	Winter	12
W 3 MC 6	11	3	Winter	12
W 4 MC 1	11	4	Winter	14
W 4 MC 2	11	4	Winter	14
W 4 MC 3	11	4	Winter	14
W 4 MC 4	11	4	Winter	14
W 4 MC 5	12	4	Winter	14
W 5 MC 1	12	5	Winter	12
W 5 MC 2	12	5	Winter	12
W 5 MC 3	12	5	Winter	12
W 5 MC 4	12	5	Winter	12
W 5 MC 5	12	5	Winter	12
W 6 MC 1	12	6	Winter	9
W 6 MC 2	12	6	Winter	9
W 6 MC 3	12	6	Winter	9
W 6 MC 4	12	6	Winter	9
W 6 MC 5	13	6	Winter	9
W 6 MC 6	13	6	Winter	9
