Sample.Name	Plate #	Colony	Season	Depth
S 1-OF-1	18	1	Summer	9
S 1-OF-2	18	1	Summer	9
S 1-OF-3	18	1	Summer	9
S 1-OF-4	18	1	Summer	9
S 1-OF-5	18	1	Summer	9
S 2-OF-1	18	2	Summer	7
S 2-OF-2	18	2	Summer	7
S 2-OF-3	18	2	Summer	7
S 2-OF-4	18	2	Summer	7
S 2-OF-5	18	2	Summer	7
S 3-OF-1	19	3	Summer	5
S 3-OF-2	19	3	Summer	5
S 3-OF-3	20	3	Summer	5
S 3-OF-4	19	3	Summer	5
S 3-OF-5	19	3	Summer	5
S 4-OF-1	23	4	Summer	5
S 4-OF-2	19	4	Summer	5
S 4-OF-3	19	4	Summer	5
S 4-OF-4	19	4	Summer	5
S 4-OF-5	19	4	Summer	5
S 5-OF-1	4	5	Summer	8
S 5-OF-2	4	5	Summer	8
S 5-OF-3	23	5	Summer	8
S 5-OF-4	4	5	Summer	8
S 5-OF-5	23	5	Summer	8
S 6-OF-1	4	6	Summer	9
S 6-OF-2	23	6	Summer	9
S 6-OF-3	4	6	Summer	9
S 6-OF-4	4	6	Summer	9
S 6-OF-5	4	6	Summer	9
W 1 OF 1	20	1	Winter	9
W 1 OF 2	20	1	Winter	9
W 1 OF 3	20	1	Winter	9
W 1 OF 4	20	1	Winter	9
W 1 OF 5	20	1	Winter	9
W 2 OF 1	5	2	Winter	7
W 2 OF 2	20	2	Winter	7
W 2 OF 3	5	2	Winter	7
W 2 OF 4	5	2	Winter	7
W 2 OF 5	20	2	Winter	7
W 3 OF 1	20	3	Winter	5
W 3 OF 2	20	3	Winter	5
W 3 OF 3	7	3	Winter	5
W 3 OF 4	23	3	Winter	5
W 3 OF 5	7	3	Winter	5
W 4 OF 1	7	4	Winter	5
W 4 OF 2	7	4	Winter	5
W 4 OF 3	23	4	Winter	5
W 4 OF 4	23	4	Winter	5
W 4 OF 5	7	4	Winter	5
W 5 OF 1	8	5	Winter	8
W 5 OF 2	8	5	Winter	8
W 5 OF 3	8	5	Winter	8
W 5 OF 4	8	5	Winter	8
W 5 OF 5	8	5	Winter	8
W 6 OF 1	8	6	Winter	9
W 6 OF 2	8	6	Winter	9
W 6 OF 3	8	6	Winter	9
W 6 OF 4	8	6	Winter	9
W 6 OF 5	8	6	Winter	9
