* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = TAQMAN
* Date Created = 2019-11-19 14:17:09 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\20191111_AG_12.eds
* Experiment Name = 20191111_AG_12
* Experiment Run End Time = 2019-11-11 11:04:16 AM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	HIGHSD	NOAMP	CTFAIL
1	A1	false	W 4 MC 5	Mcav	UNKNOWN	FAM	NFQ-MGB	18.337	17.987	0.495								true	0.010	true	3	17	Amp		N	N	N	N
2	A2	false	W 5 MC 1	Mcav	UNKNOWN	FAM	NFQ-MGB	19.474	19.707	0.330								true	0.010	true	3	17	Amp		N	N	N	N
3	A3	false	W 5 MC 2	Mcav	UNKNOWN	FAM	NFQ-MGB	19.423	19.397	0.038								true	0.010	true	3	18	Amp		N	N	N	N
4	A4	false	W 5 MC 3	Mcav	UNKNOWN	FAM	NFQ-MGB	20.224	19.850	0.530								true	0.010	true	3	19	Amp		N	Y	N	N
5	A5	false	W 5 MC 4	Mcav	UNKNOWN	FAM	NFQ-MGB	19.650	19.222	0.605								true	0.010	true	3	18	Amp		N	Y	N	N
6	A6	false	W 5 MC 5	Mcav	UNKNOWN	FAM	NFQ-MGB	19.549	19.599	0.070								true	0.010	true	3	18	Amp		N	N	N	N
7	A7	false	W 6 MC 1	Mcav	UNKNOWN	FAM	NFQ-MGB	17.641	17.985	0.486								true	0.010	true	3	16	Amp		N	N	N	N
8	A8	false	W 6 MC 2	Mcav	UNKNOWN	FAM	NFQ-MGB	17.740	18.091	0.496								true	0.010	true	3	17	Amp		N	N	N	N
9	A9	false	W 6 MC 3	Mcav	UNKNOWN	FAM	NFQ-MGB	17.314	17.109	0.291								true	0.010	true	3	16	Amp		N	N	N	N
10	A10	false	W 6 MC 4	Mcav	UNKNOWN	FAM	NFQ-MGB	17.789	17.798	0.013								true	0.010	true	3	16	Amp		N	N	N	N
11	A11	false	+	Mcav	UNKNOWN	FAM	NFQ-MGB	24.416	24.174	0.342								true	0.010	true	3	23	Amp		N	N	N	N
12	A12	false	NCT	Mcav	UNKNOWN	FAM	NFQ-MGB	Undetermined										true	0.010	true	3	39	No Amp		Y	N	Y	N
