* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = TAQMAN
* Date Created = 2019-11-22 12:31:54 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\20191119_AG_23.eds
* Experiment Name = 20191119_AG_23
* Experiment Run End Time = 2019-11-19 10:48:11 AM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	PRFLOW	HIGHSD	NOAMP	CTFAIL
1	A1	false	W 3 OF 4	Ofav	UNKNOWN	FAM	NFQ-MGB	16.948	16.835	0.159								false	0.010	true	3	16	Amp		N	N	N	N	N
2	A2	false	S 4-OF-1	Ofav	UNKNOWN	FAM	NFQ-MGB	30.467	30.461	0.008								false	0.010	true	3	29	Amp		N	N	N	N	N
3	A3	false	W 4 OF 3	Ofav	UNKNOWN	FAM	NFQ-MGB	16.137	16.204	0.095								false	0.010	true	3	15	Amp		N	N	N	N	N
4	A4	false	W 4 OF 4	Ofav	UNKNOWN	FAM	NFQ-MGB	16.482	16.158	0.458								false	0.010	true	3	15	Amp		N	N	N	N	N
6	A6	false	S 5-OF-5	Ofav	UNKNOWN	FAM	NFQ-MGB	29.564	29.964	0.565								false	0.010	true	3	28	Amp		N	N	Y	N	N
7	A7	false	S 6-OF-2	Ofav	UNKNOWN	FAM	NFQ-MGB	17.467	17.210	0.363								false	0.010	true	3	16	Amp		N	N	N	N	N
8	A8	false	S 4-MC-5	Mcav	UNKNOWN	FAM	NFQ-MGB	16.285	15.671	0.868								false	0.010	true	3	15	Amp		N	N	Y	N	N
9	A9	false	+	Ofav	UNKNOWN	FAM	NFQ-MGB	20.758	21.299	0.765								false	0.010	true	3	19	Amp		N	N	Y	N	N
10	A10	false	+	Mcav	UNKNOWN	FAM	NFQ-MGB	23.561	23.036	0.743								false	0.010	true	3	23	Amp		N	N	Y	N	N
13	B1	false	W 3 OF 4	Ofav	UNKNOWN	FAM	NFQ-MGB	16.722	16.835	0.159								false	0.010	true	3	16	Amp		N	N	N	N	N
14	B2	false	S 4-OF-1	Ofav	UNKNOWN	FAM	NFQ-MGB	30.456	30.461	0.008								false	0.010	true	3	29	Amp		N	N	N	N	N
15	B3	false	W 4 OF 3	Ofav	UNKNOWN	FAM	NFQ-MGB	16.271	16.204	0.095								false	0.010	true	3	15	Amp		N	N	N	N	N
16	B4	false	W 4 OF 4	Ofav	UNKNOWN	FAM	NFQ-MGB	15.834	16.158	0.458								false	0.010	true	3	15	Amp		N	N	N	N	N
18	B6	false	S 5-OF-5	Ofav	UNKNOWN	FAM	NFQ-MGB	30.363	29.964	0.565								false	0.010	true	3	29	Amp		N	N	Y	N	N
19	B7	false	S 6-OF-2	Ofav	UNKNOWN	FAM	NFQ-MGB	16.954	17.210	0.363								false	0.010	true	3	16	Amp		N	N	N	N	N
20	B8	false	S 4-MC-5	Mcav	UNKNOWN	FAM	NFQ-MGB	15.057	15.671	0.868								false	0.010	true	3	14	Amp		N	N	Y	N	N
21	B9	false	+	Ofav	UNKNOWN	FAM	NFQ-MGB	21.841	21.299	0.765								false	0.010	true	3	20	Amp		N	N	Y	N	N
22	B10	false	+	Mcav	UNKNOWN	FAM	NFQ-MGB	22.511	23.036	0.743								false	0.010	true	3	21	Amp		N	N	Y	N	N
25	C1	false	W 3 OF 4	A	UNKNOWN	FAM	NFQ-MGB	34.567	34.275	0.413								false	0.010	true	3	32	Inconclusive		N	N	N	N	N
26	C2	false	S 4-OF-1	A	UNKNOWN	FAM	NFQ-MGB	24.386	24.109	0.392								false	0.010	true	3	23	Amp		N	N	N	N	N
27	C3	false	W 4 OF 3	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	16	No Amp		N	N	N	Y	N
28	C4	false	W 4 OF 4	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	Y	N
